Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1691.9078017391303
FDW14,OUT017,1412.1562050420173
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2222.6712822580653
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848483
FDN33,OUT045,1559.3429752688176
FDA36,OUT017,2827.3566888888886
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1412.1562050420173
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2089.9710432835814
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2490.526886705202
FDI57,OUT045,2919.037191489363
DRC12,OUT018,2919.037191489363
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2851.63169587629
NCJ31,OUT035,3719.064328378377
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.4820818181818
FDS10,OUT035,2919.037191489363
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2222.6712822580653
DRC27,OUT046,3881.9171284552826
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2911.411439639641
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444442
FDU59,OUT017,2611.4595423423425
FDR03,OUT027,5329.314724444442
FDS49,OUT027,2517.8820884848483
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2919.037191489363
NCD43,OUT027,2517.8820884848483
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2851.63169587629
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1499.2484400000003
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3328.2073809523818
FDF41,OUT035,3719.064328378377
FDU34,OUT046,1952.3712349514562
DRH11,OUT046,842.2509434554972
FDM03,OUT013,1499.2484400000003
FDS31,OUT017,3328.2073809523818
FDJ20,OUT017,2089.9710432835814
FDV44,OUT027,5329.314724444442
FDG02,OUT049,2827.3566888888886
FDA09,OUT013,2851.63169587629
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1353.065016901409
FDW12,OUT035,2490.526886705202
FDL51,OUT017,3881.9171284552826
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1559.3429752688176
FDN40,OUT045,2490.526886705202
FDB35,OUT027,2517.8820884848483
FDA22,OUT017,2611.4595423423425
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3328.2073809523818
NCW42,OUT045,3881.9171284552826
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.8820884848483
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3719.064328378377
NCG06,OUT045,4034.300306896551
DRC36,OUT045,2851.63169587629
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.9504030303033
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303033
DRC24,OUT035,2660.9504030303033
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1559.3429752688176
FDU58,OUT013,2911.411439639641
FDY27,OUT017,2851.63169587629
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,3627.5498912621374
FDB23,OUT046,3627.5498912621374
FDR49,OUT045,798.2176035398231
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993
FDX02,OUT027,5329.314724444442
FDQ16,OUT027,2517.8820884848483
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,2089.9710432835814
FDZ27,OUT046,798.2176035398231
FDN57,OUT017,2252.913960317461
FDA03,OUT018,2232.847021848739
FDZ36,OUT045,3328.2073809523818
NCU05,OUT013,1240.3673076086952
FDT39,OUT018,2232.847021848739
FDK60,OUT017,1559.3429752688176
FDZ25,OUT017,2894.2207107142854
FDG12,OUT046,2293.906512903225
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727275
FDM22,OUT049,842.2509434554972
FDJ03,OUT027,1378.2631852760735
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3480.07295735294
FDO38,OUT010,165.9185816513762
FDE28,OUT027,6280.89088
FDO27,OUT035,1559.3429752688176
DRL23,OUT027,2517.8820884848483
FDS28,OUT046,842.2509434554972
FDX24,OUT013,1460.740766972476
FDZ02,OUT035,1559.3429752688176
FDL46,OUT045,1827.8328454545447
