Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.765571934223
FDW14,OUT017,1610.6242240421186
NCN55,OUT010,1841.997223682819
FDQ58,OUT017,2582.5206330713236
FDY38,OUT027,5072.110267059668
FDH56,OUT046,1936.6764138381477
FDL48,OUT018,665.665542837474
FDC48,OUT027,2801.5469124164947
FDN33,OUT045,1541.812102712521
FDA36,OUT017,3058.5515631519115
FDT44,OUT017,2002.7452854754713
FDQ56,OUT045,1354.7652817159963
NCC54,OUT019,1805.8750842219424
FDU11,OUT049,2060.275503866768
DRL59,OUT013,956.9106569458484
FDM24,OUT049,2539.4161869100903
FDI57,OUT045,3049.268834256467
DRC12,OUT018,2721.9441465027626
NCM42,OUT027,3191.0395188410002
FDA46,OUT010,1124.1335364443544
FDA31,OUT013,2774.687507182941
NCJ31,OUT035,3780.624511051512
FDG52,OUT046,866.3016418754643
NCL19,OUT019,407.0201002261899
FDS10,OUT035,2989.2108401698038
FDX22,OUT010,1459.9066438034338
NCF19,OUT035,989.2770035511649
NCE06,OUT046,2512.8314787955646
DRC27,OUT046,3760.4087116591595
FDE21,OUT035,2045.2336816508418
NCR42,OUT019,-1241.2711920209238
FDX51,OUT018,2837.368297748975
NCR06,OUT018,512.369615797528
FDU31,OUT027,4863.198260204223
FDU59,OUT017,2689.019862983233
FDR03,OUT027,4681.841293740617
FDS49,OUT027,2767.5256999198864
FDD48,OUT010,-0.3529151237801216
NCF18,OUT017,3070.7379652109453
NCD43,OUT027,3102.3892188088075
NCD54,OUT018,1996.7123195387026
FDY19,OUT010,28.33630109456226
NCY54,OUT017,2770.9079541176875
NCL19,OUT018,2025.4658925845242
FDP23,OUT010,1526.2400158807595
FDC26,OUT013,1836.9050599048785
FDR14,OUT010,-953.2059901466798
NCS41,OUT035,2992.0071839714274
FDF41,OUT035,3954.2253602144506
FDU34,OUT046,2004.2072494166641
DRH11,OUT046,977.2415922367036
FDM03,OUT013,1755.9231447899795
FDS31,OUT017,2994.922510249618
FDJ20,OUT017,2101.7191349664267
FDV44,OUT027,4427.580473191114
FDG02,OUT049,3075.048787979734
FDA09,OUT013,2923.0082895252594
FDT04,OUT013,748.4092137147699
FDL58,OUT019,2229.839337824801
FDE52,OUT045,1492.6542605314391
FDW12,OUT035,2501.363317382694
FDL51,OUT017,3494.0729997135695
NCY42,OUT027,3664.891699327999
FDR07,OUT017,1691.6075374036561
FDN40,OUT045,2359.2956751456254
FDB35,OUT027,2961.582688812945
FDA22,OUT017,2716.07731502487
NCL06,OUT046,4015.7798311662323
FDI35,OUT013,2890.7725017752064
NCW42,OUT045,3356.9401424002176
NCX06,OUT049,2910.857390900966
FDC37,OUT027,3197.146668397877
FDZ14,OUT018,1753.3436919608976
DRG49,OUT049,3863.8061402989306
NCG06,OUT045,3881.3272215946736
DRC36,OUT045,2697.76323796375
FDV21,OUT019,75.92573805206428
FDB53,OUT046,2333.3480853154774
DRP47,OUT019,1959.6534466666835
FDA14,OUT013,2346.504337643007
DRC24,OUT035,2552.2696015911474
FDW21,OUT018,1447.8113089197327
NCH29,OUT046,1586.0377916028237
FDU58,OUT013,3048.1086088650213
FDY27,OUT017,2911.3645125315493
FDV56,OUT035,1975.3635361794263
FDT59,OUT046,3593.281064468571
FDB23,OUT046,3560.46851254916
FDR49,OUT045,761.3840746832261
FDB03,OUT010,1857.3003626044674
FDN39,OUT045,2621.17804891632
FDX02,OUT027,4890.870479619762
FDQ16,OUT027,3187.8693220567257
FDU35,OUT018,1362.3596749018873
NCT29,OUT013,1976.8942931211957
FDZ27,OUT046,892.317639275328
FDN57,OUT017,2347.5096665932647
FDA03,OUT018,2094.6279880409943
FDZ36,OUT045,2896.4078387501336
NCU05,OUT013,1372.1335639040396
FDT39,OUT018,2194.1179735647215
FDK60,OUT017,1733.2507884768545
FDZ25,OUT017,2826.190397680607
FDG12,OUT046,2032.8392276405557
DRB01,OUT019,1096.1090419419322
NCC43,OUT027,5254.399537090621
FDX13,OUT019,1990.0144880738103
FDM22,OUT049,1090.5666458577734
FDJ03,OUT027,2343.749288717609
FDU14,OUT018,3614.897260484677
FDB33,OUT010,673.6519800224354
FDP27,OUT046,2965.0156980890356
FDO38,OUT010,-582.3622997470982
FDE28,OUT027,5035.068241526285
FDO27,OUT035,1715.3970198304187
DRL23,OUT027,3161.374592404161
FDS28,OUT046,1023.807176051112
FDX24,OUT013,1588.7639585251688
FDZ02,OUT035,1782.8421760900596
FDL46,OUT045,1836.892042251426
FDS60,OUT027,4242.728243128966
NCO06,OUT017,706.4833446627453
FDO16,OUT035,1577.778875181235
FDC60,OUT049,1574.1493444081777
FDA48,OUT018,3135.5750877298465
FDZ36,OUT027,4408.478763133895
FDK27,OUT045,1912.317697761829
FDW23,OUT018,463.0431950634623
FDM14,OUT018,1542.5486362147108
FDM14,OUT013,1819.4089099211285
FDW60,OUT018,2587.2134014579856
FDE21,OUT013,1937.942687842194
NCM42,OUT035,1909.4784552389406
FDY59,OUT010,-297.7084649318724
DRI49,OUT049,1389.7281977523282
FDT28,OUT019,537.7110713187642
FDQ22,OUT018,490.3297904515209
FDR60,OUT049,1364.6641334971853
FDC50,OUT019,-348.121949454439
FDV24,OUT013,2434.0012487939384
DRF48,OUT010,1095.8776416368773
FDQ47,OUT046,704.9811544654924
DRN36,OUT049,1677.243205097889
NCY06,OUT035,2178.510393908811
FDE52,OUT035,1683.7003192351963
NCB54,OUT045,1960.3292567226863
NCF31,OUT035,2539.7246137621373
FDJ08,OUT027,4376.715457821443
