Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.2723999999994
FDW14,OUT017,1262.9388238410595
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.163351428569
FDH56,OUT046,1874.4309598591542
FDL48,OUT018,754.5960957264957
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1517.6348566210036
FDA36,OUT017,3087.507511282052
FDT44,OUT017,1874.4309598591542
FDQ56,OUT045,1432.847424291498
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2109.088761951219
DRL59,OUT013,754.5960957264957
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.9695613636363
DRC12,OUT018,2880.9695613636363
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755196
NCJ31,OUT035,3573.328424242425
FDG52,OUT046,754.5960957264957
NCL19,OUT019,286.4177705128204
FDS10,OUT035,2880.9695613636363
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264957
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4077.7580207920787
FDE21,OUT035,1874.4309598591542
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.507511282052
NCR06,OUT018,637.573509012875
FDU31,OUT027,5669.163351428569
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.163351428569
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.4177705128204
NCF18,OUT017,2880.9695613636363
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1951.14661881533
FDY19,OUT010,286.4177705128204
NCY54,OUT017,2997.4076790419176
NCL19,OUT018,2346.6487869387774
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1583.2723999999994
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.2269793548357
FDF41,OUT035,3573.328424242425
FDU34,OUT046,2109.088761951219
DRH11,OUT046,876.3205797979799
FDM03,OUT013,1583.2723999999994
FDS31,OUT017,3389.2269793548357
FDJ20,OUT017,1951.14661881533
FDV44,OUT027,5669.163351428569
FDG02,OUT049,3087.507511282052
FDA09,OUT013,2736.9684298755196
FDT04,OUT013,637.573509012875
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1301.3658512820507
FDW12,OUT035,2384.015126168224
FDL51,OUT017,3790.5056012269933
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.6348566210036
FDN40,OUT045,2384.015126168224
FDB35,OUT027,2513.079854666667
FDA22,OUT017,2384.015126168224
NCL06,OUT046,4311.576251315786
FDI35,OUT013,3389.2269793548357
NCW42,OUT045,3790.5056012269933
NCX06,OUT049,2736.9684298755196
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1951.14661881533
DRG49,OUT049,3573.328424242425
NCG06,OUT045,4131.978437869822
DRC36,OUT045,2997.4076790419176
FDV21,OUT019,286.4177705128204
FDB53,OUT046,2539.3942358778622
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2346.6487869387774
DRC24,OUT035,2539.3942358778622
FDW21,OUT018,1740.9861528571432
NCH29,OUT046,1517.6348566210036
FDU58,OUT013,3087.507511282052
FDY27,OUT017,2736.9684298755196
FDV56,OUT035,1740.9861528571432
FDT59,OUT046,4077.7580207920787
FDB23,OUT046,3790.5056012269933
FDR49,OUT045,754.5960957264957
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2811.1814032128514
FDX02,OUT027,5669.163351428569
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.6348566210036
NCT29,OUT013,2109.088761951219
FDZ27,OUT046,754.5960957264957
FDN57,OUT017,1951.14661881533
FDA03,OUT018,2346.6487869387774
FDZ36,OUT045,3389.2269793548357
NCU05,OUT013,1432.847424291498
FDT39,OUT018,2346.6487869387774
FDK60,OUT017,1517.6348566210036
FDZ25,OUT017,2811.1814032128514
FDG12,OUT046,2200.9283177215193
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428569
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979799
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,384.4886739837402
FDP27,OUT046,3087.507511282052
FDO38,OUT010,130.33349056603777
FDE28,OUT027,5669.163351428569
FDO27,OUT035,1517.6348566210036
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979799
FDX24,OUT013,1301.3658512820507
FDZ02,OUT035,1517.6348566210036
FDL46,OUT045,1874.4309598591542
FDS60,OUT027,5669.163351428569
NCO06,OUT017,552.5502107784432
FDO16,OUT035,1301.3658512820507
FDC60,OUT049,1432.847424291498
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5669.163351428569
FDK27,OUT045,2200.9283177215193
FDW23,OUT018,637.573509012875
FDM14,OUT018,1583.2723999999994
FDM14,OUT013,1583.2723999999994
FDW60,OUT018,2736.9684298755196
FDE21,OUT013,1874.4309598591542
NCM42,OUT035,1740.9861528571432
FDY59,OUT010,230.0085918128655
DRI49,OUT049,1432.847424291498
FDT28,OUT019,384.4886739837402
FDQ22,OUT018,637.573509012875
FDR60,OUT049,1432.847424291498
FDC50,OUT019,230.0085918128655
FDV24,OUT013,2346.6487869387774
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.5502107784432
DRN36,OUT049,1517.6348566210036
NCY06,OUT035,1951.14661881533
